,Dalc,Fedu,G1,G2,G3,Medu,Pstatus,Walc,absences,activities,age,failures,famrel,famsize,famsup,freetime,goout,health,higher,internet,location,nursery,paid,romantic,school,schoolsup,sex,study_time,traveltime
372,1,2,13,11,11,2,T,1,8,yes,17,0,3,GT3,no,4,3,3,yes,no,Urban,,no,yes,MS,no,F,5 to 10 hours,1
373,1,2,6,5,5,1,T,3,14,yes,17,0,3,GT3,no,5,5,1,yes,yes,Rural,,no,no,MS,no,F,<2 hours,1
374,1,4,19,18,19,4,T,1,0,no,18,0,5,LE3,no,4,4,1,yes,yes,Rural,,no,no,MS,no,F,5 to 10 hours,2
375,1,1,8,8,10,1,T,2,2,no,18,0,4,GT3,no,3,2,4,yes,yes,Rural,,no,no,MS,,F,5 to 10 hours,4
376,1,2,15,14,15,4,T,1,4,no,20,2,5,GT3,yes,4,3,3,yes,yes,Urban,,yes,yes,MS,,F,5 to 10 hours,2
377,3,4,8,9,10,4,T,4,4,yes,18,0,5,LE3,no,4,3,2,yes,yes,Rural,,yes,no,MS,,F,2 to 5 hours,1
378,1,3,15,15,15,3,T,2,0,no,18,0,4,GT3,no,1,3,1,yes,yes,Urban,,yes,yes,MS,,F,2 to 5 hours,1
379,2,1,10,10,10,3,T,3,17,yes,17,0,4,GT3,yes,5,4,1,yes,yes,Rural,,yes,no,MS,,F,2 to 5 hours,1
380,1,4,15,14,14,4,T,4,4,yes,18,0,3,GT3,no,2,4,2,yes,yes,Urban,,yes,no,MS,,M,2 to 5 hours,1
381,1,1,7,6,7,2,T,3,5,yes,18,0,4,GT3,no,4,3,5,yes,yes,Rural,,no,yes,MS,,M,<2 hours,2
382,1,3,11,11,10,2,T,1,2,yes,17,0,4,GT3,no,4,3,3,yes,yes,Urban,,no,no,MS,no,M,2 to 5 hours,2
383,1,1,6,5,0,1,T,3,0,no,19,1,4,GT3,no,3,2,5,yes,no,Rural,,no,no,MS,,M,<2 hours,2
384,4,2,6,5,5,4,T,3,14,no,18,1,5,GT3,no,4,3,3,yes,no,Rural,,yes,no,MS,no,M,<2 hours,2
385,1,2,10,9,10,2,T,3,2,no,18,0,5,GT3,no,3,3,4,yes,no,Rural,,yes,no,MS,no,F,5 to 10 hours,2
386,2,4,6,5,6,4,T,2,7,yes,18,0,4,GT3,yes,4,3,5,yes,yes,Rural,,yes,yes,MS,no,F,<2 hours,3
387,1,3,7,5,0,2,T,2,0,yes,19,1,5,GT3,no,4,2,5,yes,yes,Rural,,no,no,MS,no,F,5 to 10 hours,1
388,1,1,7,9,8,3,T,1,0,no,18,0,4,LE3,yes,3,4,1,yes,yes,Urban,,yes,no,MS,no,F,2 to 5 hours,1
389,1,1,6,5,0,1,T,1,0,yes,18,1,1,GT3,no,1,1,5,yes,no,Urban,,no,no,MS,no,F,2 to 5 hours,2
390,4,2,9,9,9,2,A,5,11,no,20,2,5,LE3,yes,5,4,4,yes,no,Urban,,yes,no,MS,no,M,2 to 5 hours,1
391,3,1,14,16,16,3,T,4,3,no,17,0,2,LE3,no,4,5,2,yes,yes,Urban,,no,no,MS,no,M,<2 hours,2
392,3,1,10,8,7,1,T,3,3,no,21,3,5,GT3,no,5,3,3,yes,no,Rural,,no,no,MS,no,M,<2 hours,1
393,3,2,11,12,10,3,T,4,0,no,18,0,4,LE3,no,4,1,5,yes,yes,Rural,,no,no,MS,no,M,<2 hours,3
394,3,1,8,9,9,1,T,3,5,no,19,0,3,LE3,no,2,3,5,yes,yes,Urban,,no,no,MS,no,M,<2 hours,1
